hom_2_9	saving%1:04:00::	saving%1:04:02::
hom_3_7	sting%1:26:01::	sting%1:26:00::
hom_4_5	entrench%2:35:01::	entrench%2:35:00::
hom_5_15	forge%2:36:03::	forge%2:36:02::
hom_7_14	hit%1:04:00::	hit%1:04:02::
hom_8_17	vault%1:06:02::	vault%1:06:00::
hom_9_11	deep%3:00:00:profound:00	deep%3:00:01::
hom_10_13	pin%1:06:01::	pin%1:06:00::
hom_11_9	lick%2:35:00::	lick%2:31:00::
hom_14_14	admit%2:42:03::	admit%2:32:00::
hom_15_15	toast%2:30:00::	toast%2:34:00::
hom_16_13	plant%1:03:00::	plant%1:06:01::
hom_18_8	square%1:25:00::	square%1:15:00::
hom_19_3	grave%3:00:00:serious:00	grave%3:00:00:important:00
hom_20_17	outlet%1:06:02::	outlet%1:04:00::
hom_21_9	draw%2:36:00::	draw%2:35:03::
hom_22_15	snort%2:32:00::	snort%2:29:00::
hom_23_7	burning%1:04:00::	burning%1:26:00::
hom_26_15	spell%2:36:00::	spell%2:32:00::
hom_27_10	bounce%2:38:00::	bounce%2:35:03::
hom_28_5	shot%1:04:00::	shot%1:26:00::
hom_30_8	gush%2:38:00::	gush%2:35:00::
hom_31_12	raft%1:06:00::	raft%1:23:00::
hom_34_15	coach%2:32:00::	coach%2:38:00::
hom_38_9	break%2:41:13::	break%2:32:00::
hom_39_20	level%1:06:01::	level%1:06:03::
hom_43_8	case%1:06:00::	case%1:18:03::
hom_44_12	range%1:06:01::	range%1:14:00::
hom_45_6	part%1:10:00::	part%1:09:01::
hom_46_9	focus%1:26:00::	focus%1:26:01::
hom_47_13	groundbreaking%3:00:00:original:00	groundbreaking%3:00:00:original:00
hom_48_10	cover%1:06:01::	cover%1:06:02::
hom_50_9	taste%1:09:02::	taste%1:09:01::
hom_51_8	fret%2:30:00::	fret%2:37:03::
hom_52_19	still%4:02:04::	still%4:02:00::
hom_53_8	patent%1:10:00::	patent%1:10:01::
hom_55_12	see%2:39:00::	see%2:41:00::
hom_58_15	foot%2:38:00::	foot%2:40:00::
hom_61_10	irrational%3:01:00::	irrational%3:00:00::
hom_62_9	landing%1:06:00::	landing%1:06:01::
hom_63_10	premise%1:10:00::	premise%1:10:00::
hom_67_15	bar%1:06:07::	bar%1:06:05::
hom_70_9	snap%2:35:00::	snap%2:35:03::
hom_71_21	sprinkle%2:35:01::	sprinkle%2:35:00::
hom_72_10	faculty%1:09:00::	faculty%1:14:00::
hom_74_9	energy%1:07:02::	energy%1:19:00::
hom_75_13	book%2:41:00::	book%2:41:03::
hom_76_7	count%1:18:00::	count%1:04:00::
hom_77_14	rest%1:04:00::	rest%1:28:00::
hom_78_18	crunch%1:04:00::	crunch%1:26:00::
hom_80_5	spout%2:38:00::	spout%2:32:00::
hom_83_4	rejoin%2:32:00::	rejoin%2:41:00::
hom_85_15	stand%2:31:00::	stand%2:42:00::
hom_86_20	record%1:10:03::	record%1:04:00::
hom_87_13	pat%1:04:00::	pat%1:11:00::
hom_88_11	match%1:11:00::	match%1:23:00::
