hom_2_9 saving%1:04:02:: saving%1:04:01::
hom_3_7 sting_operation%1:04:00:: sting%1:26:01::
hom_4_5 entrenched%5:00:00:invulnerable:00 entrenched%5:00:00:established:00
hom_5_15 forge%2:38:01:: forge%2:36:03::
hom_7_14 hit%2:35:00:: hit%1:04:02::
hom_8_17 vault%1:06:00:: vault%2:38:00::
hom_9_11 deep%3:00:01:: deep%5:00:00:artful:00
hom_10_13 pin%1:06:00:: pin%1:06:01::
hom_11_9 licked%5:00:00:defeated:00 licked%5:00:00:defeated:00
hom_14_14 admit%2:32:00:: admit%2:40:00::
hom_15_15 toasted%5:00:00:cooked:00 toasted%5:00:00:cooked:00
hom_16_13 plant%1:03:00:: plant%1:06:01::
hom_18_8 square%1:06:00:: square%1:18:01::
hom_19_3 grave%1:06:00:: grave%5:00:00:critical:03
hom_20_17 outlet%1:06:01:: outlet%1:04:00::
hom_21_9 draw%2:35:03:: draw%2:40:01::
hom_22_15 snort%2:32:00:: snort%2:29:00::
hom_23_7 burning%1:22:00:: burning%5:00:00:important:00
hom_26_15 spell%1:26:00:: spell%2:30:00::
hom_27_10 bounce_back%2:30:00:: bounce%2:38:02::
hom_28_5 shot%1:04:06:: shot%1:04:00::
hom_30_8 gush%2:38:00:: gush%2:32:00::
hom_31_12 raft%1:06:00:: raft%1:23:00::
hom_34_15 coach%2:32:00:: coach%2:32:00::
hom_38_9 broken%3:00:02:: broken%5:00:00:imperfect:00
hom_39_20 level%1:06:01:: level%1:26:01::
hom_43_8 case%1:11:00:: case%1:06:00::
hom_44_12 range%1:07:00:: range%1:15:01::
hom_45_6 parts%1:15:00:: parts%1:15:00::
hom_46_9 focus%2:31:00:: focus%1:09:00::
hom_47_13 groundbreaking%5:00:00:original:00 groundbreaking%1:04:00::
hom_48_10 cover%2:35:00:: cover%1:06:02::
hom_50_9 taste%1:09:02:: taste%1:09:01::
hom_51_8 fret%1:06:00:: fret%2:37:03::
hom_52_19 still%5:00:00:calm:00 still%2:30:00::
hom_53_8 patent%1:10:00:: patent%5:00:00:unobstructed:00
hom_55_12 see%2:31:08:: see%1:15:00::
hom_58_15 foot%1:08:01:: foot%1:15:00::
hom_61_10 irrational%3:00:00:: irrational%1:23:00::
hom_62_9 landing%1:04:01:: landing%1:06:01::
hom_63_10 premises%1:15:00:: premises%1:15:00::
hom_67_15 bar%1:06:00:: bar%2:32:00::
hom_70_9 snap_at%2:35:00:: snap%1:07:00::
hom_71_21 sprinkles%1:13:00:: sprinkles%1:13:00::
hom_72_10 faculty%1:09:00:: faculty%1:14:00::
hom_74_9 energy%1:19:00:: energy%1:07:02::
hom_75_13 booked%5:00:00:reserved:02 booked%5:00:00:reserved:02
hom_76_7 count_on%2:31:01:: count%1:23:00::
hom_77_14 rest%2:30:00:: rest%2:35:04::
hom_78_18 crunch%1:26:00:: crunch%1:11:00::
hom_80_5 spout%2:38:00:: spout%2:32:00::
hom_82_6 makeover%1:04:00:: makeover%1:04:01::
hom_83_4 rejoin%2:41:00:: rejoin%2:32:00::
hom_85_15 stand%1:06:01:: stand%2:31:00::
hom_86_20 record%1:10:03:: record%2:32:00::
hom_87_13 pat%1:11:00:: pat%5:00:00:appropriate:00
hom_88_11 match%1:11:00:: match%1:23:00::
hom_90_3 chill%1:12:02:: chill%1:26:01::
hom_91_15 root%1:20:00:: root%1:10:00::
hom_93_14 branch%1:14:00:: branch%1:20:00::
hom_96_12 blow_up%2:37:00:: blow%1:04:01::
hom_97_6 down%3:00:00:: down%4:02:03::
hom_99_10 unhinged%5:00:00:insane:00 unhinged%5:00:00:insane:00
hom_100_20 racket%2:41:00:: racket%1:06:00::
hom_103_7 croak%2:30:00:: croak%2:30:00::
hom_104_17 picking%1:23:00:: picking%1:04:00::
hom_108_10 zest%2:39:00:: zest%1:12:00::
hom_109_10 boring%5:00:00:uninteresting:00 boring%1:04:01::
hom_110_11 rut%2:42:00:: rut%1:04:00::
hom_112_7 get%2:40:00:: get%2:29:01::
hom_113_11 type%1:09:00:: type%1:06:00::
hom_115_11 cue%1:06:00:: cue%1:10:00::
hom_116_14 potty%1:06:01:: potty%5:00:00:unimportant:00
hom_117_5 grind%2:30:00:: grind%1:04:01::
hom_119_7 alarming%3:00:00:: alarming%3:00:00::
hom_120_12 differentiate%2:31:01:: differentiate%2:31:02::
hom_124_7 see%2:31:00:: see%2:39:00::
hom_125_17 possessive%5:00:00:acquisitive:00 possessive%1:10:00::
hom_128_16 pitch%1:07:00:: pitch%2:35:01::
hom_130_11 bristled%5:00:00:armed:02 bristled%5:00:00:armed:02
hom_133_12 dough%1:13:00:: dough%1:21:00::
hom_135_10 ripe%3:00:00:: ripe%5:00:00:late:00
hom_136_15 drain%2:34:00:: drain%1:06:00::
hom_137_5 integral%1:09:00:: integral%5:00:00:intrinsic:00
hom_138_15 pitch%1:07:00:: pitch%2:35:01::
hom_140_12 general%3:00:00:: general%1:18:00::
hom_141_17 stable%3:00:00:: stable%1:06:00::
hom_142_17 warm_front%1:19:00:: front%3:00:00::
hom_145_11 shot%1:04:06:: shot%1:06:00::
hom_147_8 average_out%2:42:00:: average_out%2:31:00::
hom_148_15 show_up%2:30:00:: show%1:04:00::
hom_149_9 register%1:06:03:: register%2:32:00::
hom_150_8 contact%1:06:00:: contact%1:04:00::
hom_152_21 material%1:06:00:: material%3:00:03::
hom_153_2 call%2:32:05:: call%1:10:01::
hom_154_9 pawn%1:18:00:: pawn%1:04:00::
hom_156_10 bombshell%1:18:00:: bombshell%1:11:00::
hom_157_8 pipe_down%2:39:00:: pipe%1:06:00::
hom_159_21 on_the_fly%4:02:00:: fly%2:38:03::
hom_160_9 mean%2:32:01:: mean%1:09:00::
hom_163_13 vent%1:06:00:: vent%2:32:00::
hom_164_12 cut%2:35:00:: cut%1:21:00::
hom_165_13 steal%1:21:00:: steal%1:04:00::
hom_169_8 flop%4:02:01:: flop%1:11:00::
hom_170_23 stage%1:04:00:: stage%1:28:00::
hom_172_10 vein%1:08:00:: vein%1:10:00::
hom_173_8 tender%2:30:00:: tender%5:00:00:young:00
hom_174_17 mail%1:10:01:: mail%2:35:00::
hom_175_8 blast%2:36:00:: blast%2:36:02::
hom_177_8 swept%3:00:00:: swept%3:00:00::
hom_178_15 click%2:38:00:: click%2:39:00::
hom_179_10 focus%2:31:00:: focus%1:26:01::
hom_181_17 net%1:21:00:: net%3:00:00::
hom_183_7 cavity%1:08:00:: cavity%1:17:00::
hom_185_12 problem%1:10:00:: problem%1:26:00::
hom_186_13 bone_up%2:31:00:: bone%1:08:00::
hom_188_22 chicken%1:13:00:: chicken%5:00:00:cowardly:00
hom_189_11 drive%1:04:02:: drive%2:41:02::
hom_191_11 identity%1:07:00:: identity%1:24:01::
hom_193_14 ball%1:08:01:: ball%1:06:02::
hom_195_7 makeover%1:04:00:: makeover%1:04:01::
hom_196_14 point%1:15:00:: point%1:07:01::
hom_197_13 shorts%1:06:00:: shorts%1:06:01::
hom_198_3 marching%1:04:00:: marching%1:04:00::
hom_199_21 recount%2:32:00:: recount%2:32:00::
hom_201_13 hitch%1:06:00:: hitch%1:26:00::
hom_202_12 get%2:40:00:: get%2:33:00::
hom_203_7 pop_music%1:10:00:: pop%1:10:00::
hom_206_15 rake%2:38:00:: rake%1:06:00::
hom_207_8 combination%1:04:00:: combination%1:14:02::
hom_208_13 arms%1:06:01:: arms%1:06:00::
hom_209_17 a_lot%4:02:00:: lot%1:23:00::
hom_214_13 flies%1:15:00:: flies%1:15:00::
hom_217_12 domain%1:26:00:: domain%1:15:00::
hom_218_5 stand%1:06:01:: stand%2:42:04::
hom_219_12 dough%1:13:00:: dough%1:21:00::
hom_220_11 root%1:20:00:: root%1:14:00::
hom_221_19 all_right%4:02:00:: all_right%5:00:00:satisfactory:00
hom_222_7 high%1:15:00:: high%3:00:01::
hom_223_9 still%1:06:00:: still%2:37:01::
hom_224_11 cut%2:35:00:: cut%2:38:08::
hom_225_8 nail%2:41:01:: nail%2:35:00::
hom_226_10 alarmed%5:00:00:afraid:00 alarmed%5:00:00:afraid:00
hom_227_14 get_around%2:32:00:: get_around%2:41:00::
hom_228_10 kid%1:18:00:: kid%1:18:01::
hom_229_3 boil%2:30:01:: boil%2:30:00::
hom_231_14 mass%1:07:00:: mass%1:23:00::
hom_233_26 tension%1:26:03:: tension%1:26:01::
hom_234_6 suit%1:04:00:: suit%1:06:00::
hom_235_9 crowning%5:00:00:ultimate:00 crowning%5:00:00:top:00
hom_236_12 mass%1:07:00:: mass%1:14:01::
hom_237_8 buzz_off%2:38:00:: buzz%2:42:00::
hom_238_3 committed%3:00:00:: committed%3:00:04::
hom_243_11 sweeping%1:04:00:: sweeping%5:00:00:wide:00
hom_245_10 uproot%2:35:00:: uproot%2:41:00::
hom_250_9 slip%1:06:03:: slip%2:38:00::
hom_251_13 multiply%2:30:00:: multiply%2:29:01::
hom_254_16 scratch%2:35:05:: scratch%2:35:00::
hom_255_10 retainer%1:18:00:: retainer%1:06:00::
hom_258_14 gravity%1:19:00:: gravity%1:12:00::
hom_259_13 flake%1:17:00:: flake%1:19:00::
hom_260_12 ghost%1:18:01:: ghost%1:09:00::
hom_261_11 falling_out%1:11:00:: falling%5:00:00:descending:00
hom_262_5 sap%1:27:00:: sap%2:40:00::
hom_266_12 buck%2:41:01:: buck%1:21:00::
hom_267_9 faculty%1:09:00:: faculty%1:14:00::
hom_268_12 see%2:38:00:: see%2:31:13::
hom_273_9 punch_out%2:32:00:: punch%1:04:00::
hom_274_14 dribble%1:11:00:: dribble%1:04:00::
hom_276_13 log%1:06:01:: log%1:10:02::
hom_277_7 putter%2:35:01:: putter%1:18:00::
hom_278_18 tip%1:10:00:: tip%1:25:00::
hom_281_15 bat%1:05:00:: bat%2:35:01::
hom_282_19 reservation%1:15:00:: reservation%1:10:00::
hom_283_22 overboard%4:02:00:: overboard%4:02:01::
hom_284_14 stock%1:21:00:: stock%2:29:03::
hom_285_19 sentence%1:10:00:: sentence%1:28:00::
hom_286_10 hops%1:20:00:: hops%1:20:00::
hom_288_17 fan%1:06:00:: fan%1:18:00::
hom_289_7 seasoned%5:00:00:experienced:00 seasoned%3:00:00::
hom_293_18 impression%1:09:00:: impression%1:07:00::
hom_294_11 spark%1:23:00:: spark%1:19:00::
hom_296_7 mold%2:30:00:: mold%1:20:00::
hom_298_11 tuning%1:04:00:: tuning%1:04:00::
hom_300_5 hedge%1:21:00:: hedge%2:32:00::
hom_301_14 chick%1:05:00:: chick%1:18:00::
hom_308_35 take_for%2:31:00:: take%2:34:00::
hom_310_17 peach%1:20:00:: peach%1:13:00::
hom_313_12 expression%1:10:00:: expression%1:10:01::
hom_315_21 marooned%5:00:00:unaccompanied:00 marooned%5:00:00:unaccompanied:00
hom_316_14 prone%5:00:00:inclined:02 prone%5:00:00:inclined:02
hom_317_20 dressing%1:13:01:: dressing%1:06:00::
hom_318_17 blow%1:04:01:: blow_up%2:30:04::
hom_319_13 plaque%1:08:00:: plaque%1:08:00::
hom_320_7 from_scratch%4:02:00:: scratch%1:11:00::
hom_323_11 shallow%3:00:01:: shallow%5:00:00:superficial:00
hom_324_11 fluke%1:19:00:: fluke%1:05:01::
hom_325_12 account%2:42:01:: account%1:10:04::
hom_327_13 square_meal%1:13:00:: square%5:00:00:wholesome:00
hom_328_14 peep%2:39:00:: peep%2:32:01::
hom_330_8 tie%2:41:01:: tie%2:35:00::
hom_334_10 gas%1:27:00:: gas%2:33:00::
hom_338_9 take%2:31:01:: take%2:32:09::
hom_339_17 keep%2:40:00:: keep%1:21:00::
hom_341_10 arrangement%1:07:00:: arrangement%1:09:00::
hom_342_14 alive%3:00:01:: alive%5:00:00:aware:00
hom_344_5 stuff%1:27:00:: stuff%2:34:00::
hom_345_10 jam%1:04:00:: jam%2:35:02::
hom_348_19 accident%1:11:00:: accident%1:11:01::
hom_349_7 windows%1:10:00:: windows%1:10:00::
hom_350_11 plane%1:06:01:: plane%5:00:00:even:01
hom_354_3 submerged%5:00:01:subsurface:00 submerged%5:00:02:aquatic:00
hom_355_15 out_of_stock%5:00:00:unavailable:00 stock%1:21:00::
hom_356_8 stripes%1:10:00:: stripes%1:10:00::
hom_357_7 suck%2:43:00:: suck%2:34:04::
