hom_2_9 preservation%1:04:00:: economy%1:04:00::
hom_3_7 sting%1:04:01:: sting%1:26:01::
hom_4_5 entrench%2:35:01:: entrench%2:35:00::
hom_5_15 forge%2:36:00:: forge%2:38:01::
hom_7_14 hit%1:04:00:: collision%1:11:01::
hom_8_17 vault%1:06:02:: vault%1:04:00::
hom_9_11 deep%3:00:02:: deep%5:00:00:profound:00
hom_10_13 pin%1:06:01:: pin%1:06:06::
hom_11_9 solve%2:31:00:: lick%2:35:00::
hom_14_14 accept%2:40:03:: accommodate%2:42:03::
hom_15_15 toast%2:34:00:: crispen%2:30:00::
hom_16_13 plant%1:09:00:: plant%1:06:01::
hom_18_8 square%1:25:00:: square%1:06:01::
hom_19_3 grave%5:00:00:serious:00 grave%1:06:00::
hom_20_17 wall_socket%1:06:00:: release%1:04:00::
hom_21_9 draw%2:36:02:: draw%2:36:00::
hom_22_15 snort%2:29:00:: take_a_hit%2:34:12::
hom_23_7 burning%1:04:00:: burn%2:43:01::
hom_26_15 spell%2:32:02:: spell%2:32:00::
hom_27_10 bounce%2:35:03:: bounce%2:38:01::
hom_28_5 shooting%1:04:00:: shot%1:26:00::
hom_30_8 spurt%2:38:01:: rave%2:32:00::
hom_31_12 raft%1:06:00:: batch%1:23:00::
hom_34_15 coach%2:32:00:: coach%2:38:00::
hom_38_9 break%2:30:12:: break%2:32:07::
hom_39_20 horizontal_surface%1:06:00:: floor%1:06:01::
hom_43_8 case%1:06:01:: case%1:23:00::
hom_44_12 stove%1:06:01:: range%1:17:00::
hom_45_6 part%1:10:00:: part%1:09:00::
hom_46_9 stress%1:26:03:: focus%1:07:03::
hom_47_13 groundbreaking%1:04:00:: innovative%5:00:00:original:00
hom_48_10 binding%1:06:00:: screen%1:06:01::
hom_50_9 taste%1:04:00:: taste%1:13:00::
hom_51_8 fret%2:40:00:: fuss%2:37:00::
hom_52_19 however%4:02:00:: distillery%1:06:00::
hom_53_8 patent%1:10:01:: patent%1:10:00::
hom_55_12 see%2:39:05:: watch%2:39:05::
hom_58_15 foot%2:40:00:: foot%2:38:00::
hom_61_10 irrational%3:01:00:: irrational_number%1:23:00::
hom_62_9 landing%1:06:01:: landing%1:04:00::
hom_63_10 premises%1:15:00:: premise%1:10:00::
hom_67_15 barroom%1:06:00:: bar%1:06:05::
hom_70_9 snap%2:35:03:: snap%2:35:02::
hom_71_21 sprinkle%2:30:00:: sprinkle%2:43:00::
hom_72_10 staff%1:14:00:: faculty%1:09:00::
hom_74_9 department_of_energy%1:14:00:: energy%1:19:00::
hom_75_13 book%2:41:00:: reserve%2:41:00::
hom_76_7 count%1:23:00:: count%1:18:00::
hom_77_14 respite%1:28:00:: rest%1:26:01::
hom_78_18 crunch%1:26:00:: crunch%1:11:00::
hom_80_5 spurt%2:38:01:: rant%2:32:00::
hom_82_6 makeover%1:04:01:: makeover%1:04:00::
hom_83_4 rejoin%2:41:00:: retort%2:32:00::
hom_85_15 stand%2:31:01:: digest%2:31:03::
hom_86_20 record%1:10:03:: phonograph_record%1:06:00::
hom_87_13 pat%1:11:00:: tap%1:04:00::
hom_88_11 match%1:11:00:: match%1:23:00::
hom_90_3 cool%2:30:00:: cool%2:30:01::
hom_91_15 root%1:20:00:: beginning%1:15:00::
hom_93_14 branch%1:14:00:: arm%1:06:03::
hom_96_12 botch%2:41:00:: blow%2:39:01::
hom_97_6 down%2:35:00:: down%2:38:00::
hom_99_10 perturb%2:37:00:: unhinge%2:30:00::
hom_100_20 racket%1:06:00:: racket%1:04:00::
hom_103_7 croak%2:32:01:: murmur%2:32:01::
hom_104_17 peck%2:35:01:: pluck%2:35:02::
hom_108_10 nip%1:07:00:: gusto%1:12:00::
hom_109_10 drilling%1:04:01:: boring%1:04:00::
hom_110_11 rut%1:25:00:: rut%1:04:00::
hom_112_7 draw%2:36:01:: catch%2:39:09::
hom_113_11 character%1:18:00:: type%1:09:00::
hom_115_11 cue%1:06:00:: cue%1:10:00::
hom_116_14 chamberpot%1:06:00:: toilet%1:06:01::
hom_117_5 drudgery%1:04:00:: grind%1:04:00::
hom_119_7 dismay%2:37:00:: alarm%2:32:00::
hom_120_12 speciate%2:30:00:: differentiate%2:30:00::
hom_124_7 watch%2:39:05:: see%2:39:05::
hom_125_17 possessive%3:01:00:: possessive%5:00:00:dominant:01
hom_128_16 pitch%1:04:03:: pitch%1:15:03::
hom_130_11 bristle%2:42:02:: bristle%2:31:00::
hom_133_12 dough%1:13:00:: boodle%1:21:00::
hom_135_10 ripe%3:00:00:: ripe%5:00:00:mature:02
hom_136_15 drain%1:04:00:: drain%1:06:00::
hom_137_5 integral%1:09:00:: built-in%5:00:00:intrinsic:00
hom_138_15 pitch%1:04:03:: pitch%1:15:03::
hom_140_12 general%1:18:00:: general%1:18:01::
hom_141_17 stable%1:06:00:: stable%3:00:00::
hom_142_17 front%1:15:00:: front%1:06:00::
hom_145_11 stroke%1:04:00:: nip%1:23:00::
hom_147_8 average%2:31:00:: average%2:41:00::
hom_148_15 appearance%1:04:02:: display%1:10:01::
hom_149_9 register%2:36:00:: register%2:41:00::
hom_150_8 contact%1:06:00:: contact%1:10:01::
hom_152_21 material%1:06:01:: material%1:27:00::
hom_153_2 call%2:29:05:: call%2:41:04::
hom_154_9 instrument%1:18:00:: pawn%1:06:00::
hom_156_10 bombshell%1:06:00:: bombshell%1:18:00::
hom_157_8 organ_pipe%1:06:00:: pipe%1:06:00::
hom_159_21 fly%1:04:00:: fly%1:05:00::
hom_160_9 average%5:00:02:normal:01 beggarly%5:00:00:stingy:00
hom_163_13 vent%2:30:00:: vent%1:06:00::
hom_164_12 cut%1:26:00:: cut%1:04:01::
hom_165_13 steal%2:33:00:: steal%2:38:00::
hom_169_8 fall_through%2:41:00:: flop%2:38:00::
hom_170_23 stage%1:15:00:: stage%1:06:00::
hom_172_10 vein%1:17:00:: vein%1:08:00::
hom_173_8 bid%1:10:00:: tender%1:06:02::
hom_174_17 mail%1:10:01:: mail%1:06:01::
hom_175_8 blast%1:11:00:: blast%1:04:00::
hom_177_8 sweep%2:35:00:: brush%2:38:00::
hom_178_15 click%2:32:01:: chatter%2:39:00::
hom_179_10 stress%1:26:03:: focus%1:09:00::
hom_181_17 net%1:06:03:: net%1:06:00::
hom_183_7 cavity%1:22:00:: cavity%1:08:00::
hom_185_12 problem%1:26:00:: trouble%1:09:00::
hom_186_13 bone%1:08:00:: bone%1:27:00::
hom_188_22 chicken%1:13:00:: chicken%1:05:01::
hom_189_11 drive%1:04:03:: drive%1:04:05::
hom_191_11 identity%1:07:02:: identity%1:07:00::
hom_193_14 baseball%1:04:00:: ball%1:06:01::
hom_195_7 makeover%1:04:00:: makeover%1:04:01::
hom_196_14 point%1:24:04:: point%1:10:02::
hom_197_13 short_pants%1:06:00:: drawers%1:06:02::
hom_198_3 march%2:38:10:: march%2:38:01::
hom_199_21 tell%2:32:01:: recount%2:32:02::
hom_201_13 hitch%1:06:00:: hang-up%1:09:01::
hom_202_12 scram%2:38:00:: get%2:35:12::
hom_203_7 pop_music%1:10:00:: pop%1:11:00::
hom_206_15 rake%1:06:00:: rake%1:18:00::
hom_207_8 combination%1:14:02:: combination%1:04:00::
hom_208_13 arm%1:06:02:: weaponry%1:06:00::
hom_209_17 lot%1:18:00:: fortune%1:26:00::
hom_214_13 fly%1:04:00:: fly%1:05:00::
hom_217_12 domain%1:14:01:: knowledge_domain%1:09:00::
hom_218_5 stand%1:15:00:: point_of_view%1:09:00::
hom_219_12 dough%1:13:00:: boodle%1:21:00::
hom_220_11 solution%1:14:00:: root%1:23:00::
hom_221_19 properly%4:02:00:: right%4:02:04::
hom_222_7 high%1:15:00:: high%1:26:00::
hom_223_9 still%4:02:02:: however%4:02:00::
hom_224_11 edit%2:30:01:: reduce%2:30:00::
hom_225_8 nail%2:35:00:: smash%2:35:00::
hom_226_10 alarm%2:32:00:: dismay%2:37:00::
hom_227_14 have%2:40:02:: scram%2:38:00::
hom_228_10 child%1:18:00:: kid%1:05:00::
hom_229_3 boil%2:30:00:: boil%2:30:01::
hom_231_14 mass%1:04:00:: mass%1:10:00::
hom_233_26 tension%1:04:00:: tension%1:26:02::
hom_234_6 suit%2:42:02:: suit%2:42:05::
hom_235_9 crowning%5:00:00:ultimate:00 crowning%5:00:00:top:00
hom_236_12 mass%1:04:00:: mass%1:10:00::
hom_237_8 buzz%2:39:00:: hum%2:42:00::
hom_238_3 commit%2:40:02:: commit%2:41:01::
hom_243_11 sweep%2:35:01:: swing%2:35:00::
hom_245_10 uproot%2:36:00:: uproot%2:35:00::
hom_250_9 slip%1:18:00:: slip%1:11:00::
hom_251_13 multiply%2:30:00:: multiply%2:31:00::
hom_254_16 rub%2:39:00:: scratch%2:35:00::
hom_255_10 retainer%1:06:00:: retainer%1:21:00::
hom_258_14 gravity%1:19:00:: graveness%1:07:00::
hom_259_13 snowflake%1:19:00:: eccentric%1:18:00::
hom_260_12 ghostwriter%1:18:00:: ghost%1:09:00::
hom_261_11 fall%2:30:13:: fall%2:30:15::
hom_262_5 run_down%2:40:00:: sap%2:35:00::
hom_266_12 dollar%1:21:00:: vaulting_horse%1:06:00::
hom_267_9 staff%1:14:00:: faculty%1:09:00::
hom_268_12 watch%2:39:05:: visualize%2:36:00::
hom_273_9 punch%2:35:04:: punch%2:35:00::
hom_274_14 drool%1:08:00:: dribble%1:04:00::
hom_276_13 log%2:35:00:: log%2:32:00::
hom_277_7 putter%1:18:00:: putter%2:35:00::
hom_278_18 peak%1:15:00:: gratuity%1:21:00::
hom_281_15 bat%1:04:00:: bat%1:06:00::
hom_282_19 reservation%1:09:01:: reservation%1:10:01::
hom_283_22 overboard%4:02:00:: overboard%4:02:01::
hom_284_14 stock%1:21:00:: store%1:21:00::
hom_285_19 conviction%1:04:00:: prison_term%1:28:00::
hom_286_10 hop%1:20:00:: hop%2:38:04::
hom_288_17 fan%1:06:00:: sports_fan%1:18:00::
hom_289_7 seasoned%5:00:00:experienced:00 season%2:39:00::
hom_293_18 impression%1:04:01:: mental_picture%1:09:00::
hom_294_11 spark%2:43:00:: trip%2:36:00::
hom_296_7 mold%1:20:00:: mold%1:13:00::
hom_298_11 tuning%1:04:00:: tune%2:30:01::
hom_300_5 hedge%1:06:00:: hedge%1:21:00::
hom_301_14 chick%1:05:00:: dame%1:18:00::
hom_308_35 bring%2:38:00:: lead%2:38:01::
hom_310_17 peach%1:13:00:: yellowish_pink%1:07:00::
hom_313_12 saying%1:10:00:: expression%1:10:02::
hom_315_21 maroon%2:40:00:: maroon%2:30:00::
hom_316_14 prone%5:00:00:inclined:02 prone%5:00:00:unerect:00
hom_317_20 dress%2:35:00:: preen%2:29:00::
hom_318_17 coke%1:06:00:: shock%1:11:01::
hom_319_13 plaque%1:08:00:: brass%1:06:01::
hom_320_7 incision%1:25:00:: chicken_feed%1:13:00::
hom_323_11 shoal%1:17:01:: shallow%2:30:00::
hom_324_11 fluke%1:05:01:: fluke%1:06:01::
hom_325_12 report%1:10:00:: explanation%1:10:00::
hom_327_13 square%1:25:00:: square%1:06:01::
hom_328_14 peep%2:39:00:: peep%2:30:00::
hom_330_8 tie%1:06:00:: necktie%1:06:00::
hom_334_10 flatulence%1:26:00:: natural_gas%1:27:00::
hom_338_9 lead%2:38:01:: bring%2:38:00::
hom_339_17 keep%2:40:13:: keep%2:35:10::
hom_341_10 arrangement%1:14:00:: arrangement%1:04:01::
hom_342_14 alive%5:00:00:sensitive:02 alive%5:00:00:lively:00
hom_344_5 stuff%1:07:00:: material%1:27:00::
hom_345_10 jam%1:13:00:: crush%1:14:00::
hom_348_19 accident%1:11:00:: accident%1:11:01::
hom_349_7 windowpane%1:06:00:: window%1:06:00::
hom_350_11 airplane%1:06:00:: flat%5:00:00:even:01
hom_354_3 submerge%2:38:00:: submerge%2:35:01::
hom_355_15 broth%1:13:01:: stock%1:06:00::
hom_356_8 chevron%1:10:00:: band%1:06:01::
hom_357_7 suck%2:38:00:: breastfeed%2:34:00::
hom_358_8 stir%2:35:04:: stimulate%2:39:00::
hom_359_8 state%2:32:00:: express%2:32:03::
hom_360_10 spark%2:43:00:: trip%2:36:00::
hom_361_7 dead%5:00:00:insensitive:02 dead%5:00:00:inactive:03
hom_362_11 fake%5:00:00:artificial:00 delusive%5:00:00:unrealistic:00
hom_363_15 heel%1:06:00:: heel%1:08:00::
hom_364_14 pony%1:05:01:: pony%1:05:02::
hom_366_14 cut%2:30:02:: snip%2:35:00::
hom_367_12 terminal%1:06:00:: terminal%5:00:00:fatal:00
hom_369_11 grill%2:30:00:: barbecued%5:00:00:cooked:00
hom_371_6 taper%2:30:02:: sharpen%2:30:08::
hom_373_21 rough%1:15:00:: roughly%4:02:02::
hom_374_11 peak%1:15:00:: gratuity%1:21:00::
hom_375_11 score%1:04:00:: score%1:25:00::
hom_378_12 funny_story%1:10:00:: amusing%5:00:00:humorous:00
hom_380_20 footfall%1:11:00:: steps%1:17:00::
hom_381_10 drive%1:04:03:: drive%1:06:00::
hom_382_8 beef%1:13:00:: beef%1:05:00::
hom_383_10 song%1:04:00:: song%1:10:00::
hom_386_9 dress%2:29:04:: arrange%2:31:00::
hom_389_10 cut%1:09:00:: cut%1:13:00::
hom_390_13 date%1:13:00:: date%1:18:00::
hom_391_10 longer%1:18:00:: long%5:00:00:tall:00
hom_392_5 bang%1:11:00:: knock%1:11:00::
hom_393_10 blow%2:30:08:: blow%2:43:00::
hom_394_10 load%2:35:01:: load%2:30:12::
hom_395_8 accept%2:42:00:: lead%2:38:01::
hom_396_18 let%2:32:00:: let%2:41:00::
hom_397_13 august%1:28:00:: august%5:00:00:noble:02
hom_399_13 draw%1:11:00:: draw%1:04:00::
hom_400_9 fly%1:06:02:: fly%1:04:00::
hom_401_13 add%2:32:01:: add%2:30:00::
hom_402_14 reek%2:39:00:: stink%2:42:00::
hom_405_12 mint%1:13:00:: mint%1:13:01::
hom_406_6 component%1:09:00:: element%1:27:01::
hom_408_11 happen%2:30:00:: elapse%2:38:00::
hom_409_10 run_down%2:40:00:: exhaust%2:29:00::
hom_411_8 align%2:31:00:: align%2:30:00::
hom_412_30 change%1:04:00:: variety%1:07:01::
hom_414_13 hold%2:42:13:: contain%2:42:14::
hom_417_14 quarter%1:28:00:: quarter%1:28:03::
hom_418_9 downhill%4:02:00:: downhill%4:02:01::
hom_421_16 dirt%1:26:00:: scandal%1:10:00::
hom_422_20 miss%2:37:00:: miss%2:39:00::
hom_423_12 jesus%1:18:00:: deliveryman%1:18:00::
hom_424_16 knit%2:36:00:: pucker%2:35:00::
hom_426_7 book%1:10:00:: book%1:14:01::
hom_428_10 pan%2:35:00:: pan%2:32:00::
hom_429_8 otiose%5:00:00:worthless:00 pointless%3:00:00::
hom_430_16 slip%2:38:12:: slip%2:38:05::
hom_431_15 landslide%1:11:00:: landslide%1:11:01::
hom_432_20 hand%1:14:00:: deal%1:04:00::
hom_434_13 clerical%3:01:00:: clerical%3:01:01::
hom_437_6 suspend%2:35:00:: suspend%2:30:01::
hom_440_9 ground%1:06:01:: earth%1:27:00::
hom_441_9 staff%1:14:00:: faculty%1:09:00::
hom_443_10 potential%1:26:00:: electric_potential%1:19:00::
hom_447_29 snap%2:35:03:: snap%2:38:01::
hom_449_17 calf%1:05:00:: calf%1:05:01::
hom_451_17 pin%1:06:06:: flag%1:05:00::
hom_452_8 ruin%1:06:00:: laying_waste%1:04:00::
hom_454_11 cabinet%1:06:00:: cabinet%1:06:02::
hom_457_12 crow%2:32:02:: gloat%2:32:00::
hom_463_8 pine%1:20:00:: pine%1:20:02::
hom_464_10 iron%2:35:00:: ironed%3:00:00::
