het_1_14 charge%2:38:01:: alleged%5:00:00:declared:00
het_2_13 puny%5:00:00:small:00 coolly%4:02:00::
het_4_11 office%1:04:02:: orifice%1:08:00::
het_5_5 quadruped%1:05:00:: gnu%1:05:00::
het_7_6 turn%2:35:11:: harried%5:00:00:troubled:00
het_11_13 puckishly%4:02:00:: archly%4:02:00::
het_12_12 terahertz%1:28:00:: hz%1:28:00::
het_13_24 hair%1:23:00:: dyed%5:00:00:artificial:00
het_15_3 suppose%2:31:06:: know%2:31:06::
het_16_11 make%2:36:00:: maid%1:18:01::
het_17_7 liable%5:00:00:responsible:00 knowingly%4:02:00::
het_19_16 diatonic_scale%1:10:00:: octave%1:10:01::
het_22_17 functionally%4:02:00:: punctually%4:02:00::
het_24_6 con%2:41:00:: psalms%1:10:00::
het_25_7 hair%1:23:00:: thick%3:00:01::
het_28_10 manifold%1:14:00:: soled%3:00:00::
het_31_14 colossal%5:00:01:large:00 hostel%1:06:01::
het_33_24 deal%1:23:00:: accord%1:26:00::
het_34_16 convolute%2:35:00:: knotty%5:00:00:difficult:00
het_35_14 humorist%1:18:00:: humorlessly%4:02:00::
het_36_17 craftily%4:02:00:: cannily%4:02:00::
het_38_13 cittern%1:06:00:: lute%1:06:00::
het_39_15 substance%1:10:00:: congealed%5:00:00:solid:01
het_40_6 forte%1:07:00:: hart%1:18:01::
het_42_11 gnarl%2:35:00:: mutter%1:10:00::
het_43_10 outline%1:09:00:: bovine%1:05:00::
het_45_8 start%2:41:00:: era%1:28:01::
het_46_10 retire%2:37:00:: reptile%1:05:00::
het_47_8 fourth%5:00:00:ordinal:00 quart%1:23:01::
het_49_8 stint%2:40:01:: lint%1:27:02::
het_51_11 magnitude%1:24:00:: mood%1:24:00::
het_54_29 portal%1:06:01:: offal%1:13:00::
het_55_11 bad%5:00:00:inferior:02 crummy%5:00:00:inferior:02
het_56_7 scale%1:24:00:: sail%1:06:00::
het_58_14 outline%1:09:00:: mine%1:06:01::
het_59_13 tide%1:11:01:: toad%1:05:00::
het_60_16 soak%2:40:00:: candied%5:00:00:preserved:02
het_62_13 financial%3:01:00:: mansion%1:15:00::
het_64_16 lark%2:38:00:: bark%2:30:00::
het_65_18 twang%2:39:01:: throng%1:14:00::
het_66_8 display%2:39:00:: pane%1:06:01::
het_67_7 pole%1:23:01:: hole%1:06:00::
het_69_14 tympani%1:06:00:: stiltedly%4:02:00::
het_70_27 party%1:14:01:: sari%1:06:00::
het_71_14 flow%1:28:00:: cash%1:21:00::
