het_1_14 allege%2:32:00:: alleged%5:00:00:declared:00
het_2_13 cooly%1:18:00:: coolly%4:02:00::
het_4_11 artifice%1:04:00:: orifice%1:08:00::
het_5_5 anus%1:08:00:: gnu%1:05:00::
het_7_6 harried%5:00:00:troubled:00 harrier%1:18:00::
het_11_13 archly%4:02:00:: arch%1:06:00::
het_12_12 hz%1:28:00:: az%1:15:00::
het_13_24 dyed%5:00:00:artificial:00 ded%1:10:00::
het_15_3 know%2:31:06:: know%2:31:01::
het_16_11 maid%1:18:01:: aid%1:04:01::
het_17_7 knowingly%4:02:00:: knowing%1:09:00::
het_19_16 octane%1:27:00:: octave%1:10:01::
het_22_17 punctuality%1:07:00:: punctually%4:02:00::
het_24_6 psalms%1:10:00:: psalm%1:10:00::
het_25_7 thick%3:00:01:: chick%1:05:00::
het_28_10 soled%3:00:00:: oled%1:06:00::
het_31_14 hotel%1:06:00:: hostel%1:06:01::
het_33_24 accra%1:15:00:: accord%1:26:00::
het_34_16 snotty%5:00:00:proud:00 knotty%5:00:00:difficult:00
het_35_14 humorlessly%4:02:00:: humourlessly%4:02:00::
het_36_17 cannily%4:02:00:: cannery%1:06:00::
het_38_13 flute%1:06:00:: lute%1:27:00::
het_39_15 congealed%5:00:00:solid:01 concealed%3:00:00::
het_40_6 hart%1:18:01:: art%1:10:00::
het_42_11 butter%1:13:00:: mutter%1:10:00::
het_43_10 bovine%1:05:00:: bovinae%1:05:00::
het_45_8 era%1:28:01:: ara%1:17:00::
het_47_8 quark%1:17:00:: quart%1:23:01::
het_49_8 dint%1:04:00:: lint%1:27:02::
het_51_11 food%1:03:00:: mood%1:24:00::
het_54_29 offal%1:13:00:: foal%1:05:00::
het_55_11 crummy%5:00:00:inferior:02 brummy%1:18:00::
het_56_7 sail%1:06:00:: ail%1:13:00::
het_58_14 amine%1:27:00:: mine%1:06:01::
het_59_13 toad%1:05:00:: goad%1:06:00::
het_60_16 candid%5:00:00:direct:02 candied%5:00:00:preserved:02
het_62_13 manson%1:18:00:: mansion%1:15:00::
het_64_16 barker%1:05:00:: bark%2:30:00::
het_65_18 throng%1:14:00:: thong%1:06:00::
het_66_8 bane%1:26:00:: pane%1:06:01::
het_67_7 bole%1:20:00:: hole%1:06:00::
het_69_14 stiltedly%4:02:00:: stilted%5:00:00:affected:01
het_70_27 sari%1:06:00:: bari%1:15:00::
het_71_14 cash%1:21:00:: ash%1:20:00::
het_72_4 pasha%1:18:00:: pasta%1:13:00::
het_73_13 glowingly%4:02:00:: glowing%1:19:00::
het_74_13 caustically%4:02:00:: acoustically%4:02:00::
het_75_17 petal%1:20:00:: metal%1:27:00::
het_77_5 snotty%5:00:00:proud:00 knotty%5:00:00:crooked:01
het_78_7 vinyl%1:27:01:: final%1:11:00::
het_82_11 rabid%3:01:00:: raid%2:40:02::
het_87_12 juggler%1:18:00:: juggle%1:04:01::
het_90_6 musd%1:10:00:: muse%2:31:00::
het_92_8 meat%1:09:00:: beat%2:33:00::
het_94_7 bubble%2:29:00:: bubble%2:30:01::
het_95_19 smouldering%5:00:00:angry:00 shoulder%2:35:01::
het_96_9 cottony%5:00:00:soft:01 cotton%1:20:00::
het_99_12 source%1:15:00:: bounce%2:38:00::
het_100_7 ilion%1:15:00:: lion%1:05:00::
het_101_16 serious%3:00:00:: seriously%4:02:01::
het_102_6 mail%1:10:01:: ail%1:13:00::
het_104_5 cursive%1:10:00:: pensive%5:00:00:thoughtful:00
het_107_8 ester%1:27:00:: esteem%1:26:00::
het_108_14 easily%4:02:01:: basil%1:18:00::
het_111_8 gelt%1:21:00:: gilt%5:00:00:chromatic:00
het_112_11 rogaine%1:06:00:: romaine%1:13:00::
het_113_13 compliment%1:10:00:: complement%1:27:00::
het_116_7 redaction%1:10:00:: reaction%1:22:00::
het_117_31 bris%1:04:00:: iris%1:08:00::
het_119_7 son%1:18:01:: son%1:18:00::
het_121_15 ce%1:27:00:: cue%1:10:00::
het_122_7 bane%1:26:00:: mane%1:05:00::
het_123_15 bounder%1:18:01:: boulder%1:17:00::
het_124_12 wigeon%1:05:00:: pigeon%1:05:00::
het_125_7 pest%1:26:01:: best%3:00:00::
het_129_12 doggedly%4:02:00:: dogged%5:00:00:stubborn:00
het_131_17 philatelic%3:01:00:: philately%1:04:00::
