het_1_14	allege%2:32:00::	alleged%5:00:00:declared:00
het_2_13	coolly%4:02:00::	colly%2:35:00::
het_4_11	orifice%1:08:00::	office%1:06:00::
het_5_5	gnu%1:05:00::	gnp%1:21:00::
het_7_6	harry%2:37:00::	carry%2:35:02::
het_11_13	archly%4:02:00::	arch%2:38:00::
het_12_12	hz%1:28:00::	hr%1:28:00::
het_13_24	dye%2:30:00::	eye%1:08:00::
het_15_3	know%2:31:01::	now%4:02:05::
het_16_11	maid%1:18:01::	aid%2:41:00::
het_17_7	knowingly%4:02:00::	glowingly%4:02:00::
het_19_16	octave%1:28:00::	octane%1:27:00::
het_22_17	punctually%4:02:00::	punctuality%1:07:00::
het_24_6	psalm%1:10:00::	palm%1:08:00::
het_25_7	thick%3:00:01::	think%2:31:01::
het_28_10	sole%1:06:00::	some%3:00:00::
het_31_14	hostel%1:06:00::	hotel%1:06:00::
het_33_24	accord%2:42:00::	record%2:32:00::
het_34_16	knotty%5:00:00:complex:00	snotty%5:00:00:dirty:01
het_35_14	humorlessly%4:02:00::	humourlessly%4:02:00::
het_36_17	cannily%4:02:00::	candidly%4:02:00::
het_38_13	lute%1:06:00::	late%3:00:00::
het_39_15	congeal%2:30:00::	conceal%2:39:01::
het_40_6	hart%1:05:00::	part%1:24:00::
het_42_11	mutter%2:32:01::	matter%1:09:01::
het_43_10	bovine%3:01:00::	bovinae%1:05:00::
het_45_8	era%1:28:00::	err%2:31:00::
het_46_10	reptile%1:05:00::	retire%2:41:01::
het_47_8	quart%1:23:01::	quirt%1:06:00::
het_49_8	lint%1:27:02::	list%1:10:00::
het_51_11	mood%1:12:00::	good%3:00:01::
het_54_29	offal%1:13:00::	offer%2:40:02::
het_55_11	crummy%5:00:00:inferior:02	brummy%1:18:00::
het_56_7	sail%2:38:03::	fail%2:41:02::
het_58_14	mine%1:06:01::	mind%1:09:00::
het_59_13	toad%1:05:00::	road%1:06:00::
het_60_16	candy%1:13:00::	bandy%2:33:01::
het_62_13	mansion%1:06:00::	manson%1:18:00::
het_64_16	bark%1:20:00::	back%4:02:04::
het_65_18	throng%1:14:00::	thong%1:06:00::
het_66_8	pane%1:06:00::	page%1:10:00::
het_67_7	hole%1:17:01::	whole%3:00:00::
het_69_14	stiltedly%4:02:00::	stilted%5:00:00:affected:01
het_70_27	sari%1:06:00::	bari%1:15:00::
het_71_14	cash%1:21:00::	case%1:11:00::
het_72_4	pasta%1:13:00::	past%1:28:00::
het_73_13	glowingly%4:02:00::	lovingly%4:02:00::
het_74_13	caustically%4:02:00::	acoustically%4:02:00::
het_75_17	petal%1:20:00::	metal%1:27:00::
het_77_5	knotty%5:00:00:complex:00	snotty%5:00:00:dirty:01
het_78_7	vinyl%1:27:00::	vine%1:20:00::
het_82_11	rabid%3:01:00::	raid%1:04:00::
het_86_10	clothe%2:29:00::	clothes%1:06:00::
het_87_12	juggler%1:18:00::	juggle%1:04:00::
het_90_6	muse%2:31:00::	use%2:34:01::
het_92_8	meat%1:13:01::	mean%2:32:01::
het_94_7	bubble%1:17:00::	babble%2:32:02::
het_95_19	shoulder%1:08:00::	smoulder%1:11:00::
het_96_9	cotton%1:27:01::	cottony%5:00:00:soft:01
het_99_12	source%1:15:00::	course%1:04:01::
het_100_7	lion%1:05:00::	ion%1:17:00::
het_101_16	seriously%4:02:00::	serious%3:00:00::
het_102_6	mail%2:35:00::	fail%2:41:02::
het_104_5	pensive%5:00:00:sad:00	expensive%3:00:00::
het_106_15	cur%1:05:00::	car%1:06:00::
het_107_8	esteem%1:26:00::	seem%2:39:00::
het_108_14	easily%4:02:01::	early%3:00:00::
het_111_8	gild%2:36:00::	wild%3:00:02::
het_112_11	rogaine%1:06:00::	romaine%1:13:00::
het_113_13	compliment%1:10:00::	complement%1:10:00::
het_116_7	redaction%1:04:00::	reaction%1:22:00::
het_117_31	iris%1:06:00::	irish%3:01:00::
het_119_7	son%1:18:00::	so%4:02:02::
het_121_15	cue%1:06:00::	cut%2:35:00::
het_122_7	mane%1:05:00::	man%1:18:00::
het_123_15	boulder%1:17:00::	bowlder%1:17:00::
het_124_12	pigeon%1:05:00::	wigeon%1:05:00::
het_125_7	pest%1:05:00::	best%3:00:00::
het_126_40	roomer%1:18:00::	roofer%1:18:00::
het_129_12	doggedly%4:02:00::	dogged%5:00:00:stubborn:00
het_131_17	philately%1:04:00::	privately%4:02:00::
het_133_9	taut%5:00:00:tense:01	taunt%2:32:00::
het_134_16	feat%1:04:00::	fear%1:12:00::
het_137_24	pore%1:25:00::	more%4:02:00::
het_138_18	foliage%1:20:00::	foliaged%5:00:00:leafy:00
het_140_14	synergy%1:22:00::	asynergy%1:26:00::
het_141_6	cosine%1:24:00::	iodine%1:27:00::
het_145_14	bellow%2:32:00::	fellow%1:18:00::
het_148_5	flippantly%4:02:00::	flippancy%1:07:00::
het_149_7	reflectively%4:02:00::	respectively%4:02:00::
het_150_9	pier%1:06:00::	peer%2:39:00::
het_153_13	steak%1:13:00::	speak%2:32:00::
het_154_15	cannily%4:02:00::	candidly%4:02:00::
het_156_2	pistol%1:06:00::	pistil%1:20:00::
het_157_4	freud%1:18:00::	fraud%1:04:00::
het_158_7	yammer%2:32:00::	hammer%2:35:00::
het_159_13	hostel%1:06:00::	hotel%1:06:00::
het_162_5	suite%1:06:00::	quite%4:02:02::
het_165_18	periodically%4:02:00::	periodical%1:10:00::
het_166_26	capitol%1:06:00::	capital%1:21:01::
het_168_10	monet%1:18:00::	money%1:21:00::
het_172_20	grate%1:06:00::	rate%1:28:00::
het_174_7	weak%3:00:00::	week%1:28:00::
het_177_7	granite%1:07:00::	grant%2:40:01::
het_179_17	uphold%2:42:00::	hold%2:42:00::
het_181_23	gracefully%4:02:00::	gratefully%4:02:00::
het_183_14	tee%1:15:00::	see%2:39:00::
het_184_9	mourn%2:37:00::	bourn%1:09:00::
het_185_13	kitten%1:05:00::	kittee%1:04:00::
het_186_20	sheik%1:18:00::	sheika%1:18:00::
het_187_18	painfully%4:02:00::	gainfully%4:02:00::
het_188_17	pullet%1:05:00::	bullet%1:06:00::
het_189_10	reflux%1:11:00::	reflex%1:04:00::
het_193_15	boo%2:32:00::	too%4:02:00::
het_195_11	mourn%2:37:00::	bourn%1:09:00::
het_196_13	comet%1:17:00::	come%2:38:00::
het_197_6	peace%1:26:00::	place%2:35:00::
het_200_17	sagely%4:02:00::	safely%4:02:00::
het_201_7	descent%1:07:00::	descend%2:38:00::
het_202_7	bare%2:35:00::	base%2:31:00::
het_203_9	drip%2:38:00::	drop%2:38:01::
het_204_12	gnu%1:05:00::	gnp%1:21:00::
het_206_12	ambiance%1:26:00::	ambience%1:15:00::
het_208_9	chant%2:32:00::	chart%1:10:00::
het_209_17	bass%1:07:01::	base%2:31:00::
het_213_9	wok%1:06:00::	work%1:04:00::
het_216_10	coup%1:04:00::	cop%1:18:00::
het_217_10	porpoise%1:05:00::	purpose%1:09:00::
het_218_9	phase%1:28:00::	chase%2:38:00::
het_219_11	fare%1:09:00::	face%1:08:00::
het_221_14	role%1:04:00::	roll%2:38:00::
het_222_22	grater%1:06:00::	greater%3:00:00::
het_223_7	foul%2:30:03::	fool%1:18:00::
het_224_9	dye%2:30:00::	eye%1:08:00::
het_227_11	geek%1:18:00::	week%1:28:00::
het_228_11	gaily%4:02:00::	daily%4:02:00::
het_229_8	sail%2:38:03::	fail%2:41:02::
het_231_11	cereal%1:13:00::	real%3:00:00::
het_234_9	patience%1:07:00::	patient%1:18:00::
het_235_11	lute%1:06:00::	late%3:00:00::
het_239_7	pi%1:06:00::	pa%1:18:00::
het_240_5	herd%1:14:00::	head%1:08:00::
het_244_12	engorgement%1:04:00::	engagement%1:04:01::
het_246_11	write%2:36:00::	white%3:00:01::
het_247_20	doe%1:05:00::	do%2:41:01::
het_248_11	piously%4:02:01::	proudly%4:02:00::
het_249_13	apatite%1:27:00::	appetite%1:12:00::
het_250_9	spade%1:06:01::	space%1:03:00::
het_251_20	wilde%1:18:00::	wide%3:00:00::
het_252_13	officiously%4:02:00::	officious%5:00:00:intrusive:01
het_253_22	weight%1:07:00::	weigh%2:42:01::
het_257_12	bark%1:20:00::	back%4:02:04::
het_258_9	confidant%1:18:00::	confident%3:00:00::
het_259_15	census%1:04:00::	ensue%2:42:00::
het_261_26	fissure%1:08:00::	figure%1:10:00::
het_263_10	grizzly%1:05:00::	drizzly%5:00:00:wet:01
het_264_9	lapp%1:10:00::	lamp%1:06:00::
het_265_10	loess%1:27:00::	less%4:02:00::
het_267_12	negatively%4:02:00::	relatively%4:02:00::
het_268_15	broth%1:13:00::	booth%1:06:00::
het_276_6	graze%2:35:01::	gaze%2:39:00::
het_277_22	bold%3:00:00::	old%3:00:02::
het_278_12	diplomatically%4:02:00::	diplomatical%3:00:00::
het_282_6	marx%1:18:00::	mars%1:17:00::
het_283_19	bat%2:35:01::	eat%2:34:00::
het_284_14	daze%1:09:00::	gaze%2:39:00::
het_285_11	farce%1:10:00::	face%1:08:00::
het_287_4	garden%1:06:00::	harden%2:30:00::
het_288_8	gorge%2:34:00::	gouge%2:35:00::
het_289_12	hymn%1:10:00::	hymen%1:08:00::
het_292_7	flare%1:10:00::	flame%1:22:00::
het_293_1	abstinence%1:04:00::	abstinent%1:18:00::
het_294_22	fray%1:04:00::	pray%2:32:00::
het_296_8	steal%2:40:00::	steel%1:27:00::
het_298_17	stare%2:39:00::	start%2:30:00::
het_300_8	symphony%1:10:00::	symphonic%3:01:00::
het_302_20	dirk%1:06:00::	dark%3:00:01::
het_303_8	stink%2:42:00::	sink%2:38:01::
het_305_8	bravely%4:02:00::	gravely%4:02:00::
het_306_16	lamely%4:02:00::	namely%4:02:00::
het_308_31	soar%2:38:01::	roar%2:32:01::
het_311_14	yeast%1:20:00::	east%3:00:00::
het_312_8	granulate%2:29:00::	granulated%5:00:00:coarse:00
het_313_17	haik%1:06:00::	hair%1:08:00::
het_314_3	soul%1:18:00::	soil%1:26:00::
het_315_9	barbarous%5:00:00:inhumane:00	arborous%3:01:00::
het_316_11	pail%1:06:00::	fail%2:41:02::
het_318_12	bait%1:09:00::	wait%2:42:00::
het_320_6	sod%1:17:00::	so%4:02:02::
het_322_12	tone%1:10:01::	one%1:23:00::
het_323_12	promise%2:32:00::	premise%1:10:00::
het_324_6	riot%1:04:00::	root%1:20:00::
het_325_7	c%1:23:02::	cm%1:23:00::
het_326_11	mall%1:06:00::	all%3:00:00::
het_328_3	praise%2:32:00::	raise%2:30:01::
het_329_8	weaken%2:30:01::	waken%2:29:00::
