hom_8_17	vault%1:04:00::	bank_vault%1:06:00::
hom_9_11	deep%3:00:01::	deep%5:00:00:thick:01
hom_10_13	pin%1:06:00::	pin%1:10:05::
hom_14_14	admit%2:42:04::	admit%2:42:06::
hom_15_15	toast%2:34:00::	toast%2:30:00::
hom_16_13	plant%1:03:00::	plant%2:35:00::
hom_18_8	square%1:25:01::	square%1:18:01::
hom_21_9	draw%2:36:00::	draw%2:40:01::
hom_23_7	burning%1:22:00::	burning%1:04:00::
hom_26_15	spell%2:32:02::	spell%1:10:00::
hom_30_8	gush%2:35:00::	gush%2:38:00::
hom_34_15	coach%2:32:00::	coach%1:06:01::
hom_38_9	break_down%2:29:00::	break%2:30:05::
hom_39_20	level%1:06:01::	level%2:36:00::
hom_43_8	case%1:11:00::	case%1:06:00::
hom_44_12	range%1:06:01::	range%1:15:02::
hom_46_9	focus%1:09:00::	focus%1:07:03::
hom_47_13	groundbreaking%5:00:00:original:00	groundbreaking%1:04:00::
hom_50_9	taste%1:11:00::	taste%1:13:00::
hom_53_8	patent%1:10:01::	patent%2:40:00::
hom_58_15	foot%2:38:00::	foot%1:04:00::
hom_61_10	irrational%3:01:00::	irrational%3:00:00::
hom_62_9	land%1:15:02::	landing%1:06:00::
hom_63_10	premise%1:10:00::	premises%1:15:00::
hom_70_9	snap%2:35:00::	snap%1:28:00::
hom_71_21	sprinkle%2:35:01::	sprinkles%1:13:00::
hom_72_10	faculty%1:14:00::	faculty%1:09:00::
hom_76_7	count%1:18:00::	count%2:42:00::
hom_77_14	rest%1:24:00::	rest%2:35:00::
hom_78_18	crunch%1:26:00::	crunch%2:34:00::
hom_80_5	spout%2:38:00::	spout%2:32:00::
hom_82_6	makeover%1:04:01::	makeover%1:04:00::
hom_83_4	rejoin%2:32:00::	rejoin%2:41:00::
hom_85_15	stand%2:42:04::	stand%1:09:00::
hom_86_20	record%1:10:03::	record%2:32:00::
hom_90_3	chill%2:30:01::	chill%1:07:00::
hom_93_14	branch%1:19:00::	branch%1:25:00::
hom_96_12	blow_up%2:30:03::	blow%2:32:09::
hom_97_6	down%4:02:02::	get_down%2:30:00::
hom_99_10	unhinge%2:30:00::	unhinge%2:37:00::
hom_100_20	racket%1:06:00::	racket%1:11:00::
hom_103_7	croak%2:30:00::	croak%2:32:01::
hom_108_10	zest%1:07:01::	orange_zest%1:13:00::
hom_110_11	rut%1:26:00::	rut%2:42:00::
hom_112_7	get%2:30:00::	get%2:40:00::
hom_115_11	cue%1:10:00::	cue%1:06:00::
hom_116_14	potty%5:00:00:unimportant:00	potty%5:00:00:loving:00
hom_117_5	grind%1:07:00::	grind%1:18:00::
hom_120_12	differentiate%2:31:02::	differentiate%2:31:00::
hom_128_16	pitch%1:04:03::	pitch%2:35:13::
hom_130_11	bristle%2:31:00::	bristled%5:00:00:armed:02
hom_133_12	dough%1:13:00::	dough%1:21:00::
hom_135_10	ripe%5:00:00:late:00	ripe%3:00:00::
hom_136_15	drain%2:30:01::	drain%2:38:00::
hom_137_5	integral%3:01:00::	integral_calculus%1:09:00::
hom_140_12	general%1:18:00::	general%2:32:00::
hom_141_17	stable%5:00:00:sound:00	stable%1:06:00::
hom_145_11	shot%1:10:01::	shoot%2:32:01::
hom_147_8	average_out%2:42:00::	average%2:42:00::
hom_148_15	show%2:39:00::	show%1:04:01::
hom_149_9	register%2:41:00::	register%1:07:00::
hom_150_8	contact%1:10:00::	contact%1:04:02::
hom_152_21	material%1:06:00::	material%1:27:00::
hom_154_9	pawn%1:06:00::	pawn%2:40:00::
hom_156_10	bombshell%1:18:00::	bombshell%1:11:00::
hom_163_13	vent%1:06:00::	vent%2:32:00::
hom_164_12	cut%2:35:00::	cut%1:21:00::
hom_165_13	steal%2:33:00::	steal%1:04:00::
hom_170_23	stage%1:06:00::	stage%1:04:00::
hom_173_8	tender%1:18:00::	tender%1:10:00::
hom_174_17	chain_mail%1:06:00::	mail%1:06:00::
hom_175_8	blast%1:11:02::	blast%1:11:00::
hom_177_8	sweep%2:38:00::	sweep%2:38:01::
hom_178_15	click%2:31:13::	click%2:32:01::
hom_181_17	net%3:00:00::	net%2:40:00::
hom_185_12	problem%1:09:00::	problem%1:10:00::
hom_186_13	bone%1:08:00::	bone_up%2:31:00::
hom_189_11	drive%1:04:03::	drive%2:35:03::
hom_191_11	identity%1:07:00::	identity%1:24:01::
hom_193_14	ball%1:04:01::	ball%1:08:01::
hom_195_7	makeover%1:04:01::	makeover%1:04:00::
hom_197_13	short%1:06:00::	short%1:04:00::
hom_198_3	march%2:38:04::	march%1:28:00::
hom_199_21	recount%2:32:02::	recount%2:32:00::
hom_201_13	hitch%1:06:00::	hitch%2:35:13::
hom_202_12	get%2:40:00::	get_used_to%2:30:00::
hom_207_8	combination%1:14:01::	combination%1:14:00::
hom_208_13	arm%1:06:01::	arm%2:33:00::
hom_209_17	lot%1:26:00::	lot%2:40:00::
hom_218_5	stand%1:06:04::	stand%1:09:00::
hom_219_12	dough%1:13:00::	dough%1:21:00::
hom_220_11	root%1:14:00::	root%1:15:00::
hom_221_19	right%4:02:07::	right%4:02:06::
hom_222_7	high%5:00:00:superior:01	high%3:00:01::
hom_225_8	nail%2:35:00::	nail%1:06:00::
hom_226_10	alarm%2:37:00::	alarm%2:32:00::
hom_227_14	get%2:40:00::	get_around%2:32:00::
hom_229_3	boil%2:30:02::	boil_down%2:30:00::
hom_231_14	mass%1:23:00::	mass%1:04:00::
hom_235_9	crowning%5:00:00:ultimate:00	crowning%5:00:00:top:00
hom_236_12	mass%1:07:00::	mass%1:14:01::
hom_243_11	sweep%2:35:00::	sweep%2:35:01::
hom_245_10	uproot%2:36:00::	uproot%2:41:00::
hom_254_16	scratch%2:35:05::	scratch%2:41:00::
hom_258_14	gravity%1:12:00::	gravity%1:07:00::
hom_259_13	flake%1:17:00::	flake%2:35:00::
hom_260_12	ghost%1:10:00::	ghost%2:36:00::
hom_261_11	fall%2:38:00::	fall%2:30:06::
hom_262_5	sap%2:40:00::	sap%2:35:00::
hom_267_9	faculty%1:14:00::	faculty%1:09:00::
hom_268_12	see%2:39:03::	see%2:39:13::
hom_274_14	dribble%1:04:00::	dribble%2:35:00::
hom_276_13	log%2:35:00::	log_in%2:40:00::
hom_277_7	putter%2:35:01::	putter%2:41:00::
hom_278_18	tip%1:21:00::	tip%1:25:00::
hom_281_15	bat%1:06:02::	bat%1:04:00::
hom_282_19	reservation%1:09:01::	reservation%1:04:01::
hom_283_22	overboard%4:02:01::	overboard%4:02:00::
hom_284_14	stock%1:06:01::	stock%2:40:01::
hom_285_19	sentence%1:10:00::	sentence%1:04:00::
hom_288_17	fan%1:06:00::	fan%1:18:01::
hom_289_7	seasoned%5:00:00:experienced:00	seasoned%3:00:00::
hom_293_18	impression%1:09:00::	impression%1:07:00::
hom_294_11	spark%1:23:00::	spark%2:43:00::
hom_298_11	tune%2:30:00::	tune%1:04:00::
hom_300_5	hedge%1:21:00::	hedge%2:30:00::
hom_301_14	chick%1:05:00::	chick%1:18:00::
hom_310_17	peach%1:20:00::	peach%2:32:00::
hom_316_14	prone%5:00:00:inclined:02	prone%5:00:00:unerect:00
hom_317_20	dress%2:29:04::	dress%2:29:00::
hom_318_17	blow%1:04:01::	blow%2:29:00::
hom_319_13	plaque%1:06:00::	plaque%1:08:00::
hom_323_11	shallow%5:00:00:superficial:00	shallow%3:00:01::
hom_324_11	fluke%1:06:01::	fluke%1:19:00::
hom_327_13	square%3:00:00::	square%5:00:00:wholesome:00
hom_328_14	peep%2:39:00::	peep%1:04:00::
hom_339_17	keep%2:41:01::	keep%2:40:00::
hom_341_10	arrangement%1:09:01::	arrangement%1:09:00::
hom_344_5	stuff%1:06:00::	stuff%2:30:02::
hom_348_19	accident%1:11:00::	accident%1:11:01::
