hom_2_9 write%2:32:03:: keep_open%2:40:00::
hom_3_7 sting%1:04:01:: sting%1:26:00::
hom_4_5 impinge%2:41:10:: impinge%2:41:10::
hom_5_15 shape%2:36:00:: forge%1:06:00::
hom_7_14 hit%1:04:02:: stumble%2:40:10::
hom_8_17 vault%2:38:00:: vault%1:04:00::
hom_9_11 cryptic%5:00:00:inexplicable:00 trench%1:17:00::
hom_10_13 pin%1:06:01:: peg%1:10:04::
hom_11_9 solve%2:31:00:: cream%2:35:03::
hom_14_14 admit%2:42:03:: accommodate%2:42:03::
hom_15_15 toast%2:34:00:: toast%2:34:00::
hom_16_13 plant%2:31:00:: plant%1:03:00::
hom_18_8 straight%3:00:04:: square%2:40:00::
hom_19_3 dangerous%5:00:00:critical:03 grave%5:00:00:important:00
hom_20_17 wall_socket%1:06:00:: wall_socket%1:06:00::
hom_21_9 tie%2:33:00:: puff%2:34:00::
hom_22_15 take_a_hit%2:34:12:: snort%2:29:00::
hom_23_7 combustion%1:22:00:: burn%2:39:04::
hom_26_15 go%1:28:00:: while%1:28:00::
hom_27_10 leap%1:04:00:: bounce%1:11:00::
hom_28_5 shot%1:18:00:: shooting%1:04:00::
hom_30_8 spurt%2:38:01:: jet%2:35:00::
hom_31_12 raft_foundation%1:06:00:: batch%1:23:00::
hom_34_15 coach%2:32:00:: coach%2:38:00::
hom_38_9 unwrap%2:32:00:: transgress%2:41:00::
hom_39_20 level%1:09:00:: floor%1:06:01::
hom_43_8 case%1:06:00:: lawsuit%1:04:00::
hom_44_12 stove%1:06:01:: range%2:42:01::
hom_45_6 part%1:10:00:: depart%2:38:01::
hom_46_9 stress%1:26:03:: concentrate%2:31:00::
hom_47_13 innovative%5:00:00:original:00 innovative%5:00:00:original:00
hom_48_10 report%2:32:13:: cover%2:42:01::
hom_50_9 taste%2:31:05:: taste%1:13:00::
hom_51_8 worn_spot%1:07:00:: chafe%2:39:00::
hom_52_19 even%4:02:01:: hush%2:30:01::
hom_53_8 apparent%5:00:00:obvious:00 apparent%5:00:00:obvious:00
hom_55_12 visit%2:41:02:: watch%2:39:05::
hom_58_15 foot%2:40:00:: foot%2:38:00::
hom_61_10 irrational_number%1:23:00:: irrational_number%1:23:00::
hom_62_9 landing%1:04:00:: down%2:38:00::
hom_63_10 premise%2:32:00:: precede%2:32:03::
hom_67_15 stripe%1:07:00:: prevention%1:04:00::
hom_70_9 snapshot%1:06:00:: tear%2:35:00::
hom_71_21 sprinkle%2:30:00:: sprinkle%2:43:00::
hom_72_10 staff%1:14:00:: staff%1:14:00::
hom_74_9 energy%1:19:01:: energy%1:26:00::
hom_75_13 book%2:31:00:: book%2:41:03::
hom_76_7 reckon%2:31:13:: consider%2:32:00::
hom_77_14 rest%2:41:00:: rest%1:26:01::
hom_78_18 grind%2:30:00:: crunch%2:34:00::
hom_80_5 rant%2:32:00:: spurt%2:38:01::
hom_82_6 makeover%1:04:01:: makeover%1:04:01::
hom_85_15 stand%2:42:00:: stall%1:06:01::
hom_86_20 record%2:32:01:: record%2:32:00::
hom_87_13 chuck%2:35:01:: glib%5:00:00:plausible:00
hom_88_11 match%1:11:00:: couple%1:14:01::
hom_90_3 frisson%1:12:00:: chill%2:37:00::
hom_91_15 root%2:42:00:: root%1:10:00::
hom_93_14 ramify%2:30:01:: arm%1:06:03::
hom_96_12 waste%2:40:00:: shock%1:11:01::
hom_99_10 unhinge%2:30:00:: perturb%2:37:00::
hom_100_20 revel%2:41:00:: racket%1:06:00::
hom_103_7 murmur%2:32:01:: die%2:30:00::
hom_104_17 pick%2:35:02:: clean%2:30:01::
hom_108_10 zest%2:39:00:: nip%1:07:00::
hom_109_10 bore%2:35:00:: drilling%1:04:01::
hom_110_11 rut%2:42:00:: estrus%1:26:00::
hom_112_7 suffer%2:29:01:: pay_back%2:33:00::
hom_113_11 type%2:31:00:: type%2:32:00::
hom_115_11 prompt%2:32:01:: clue%1:10:01::
hom_116_14 potty%5:00:00:unimportant:00 toilet%1:06:01::
hom_117_5 grind%1:07:00:: drudgery%1:04:00::
hom_120_12 distinguish%2:31:02:: distinguish%2:31:02::
hom_124_7 witness%2:39:01:: watch%2:39:05::
hom_125_17 possessive%5:00:00:dominant:01 possessive%3:01:00::
hom_128_16 peddle%2:40:00:: pitch%1:27:00::
hom_130_11 bristle%2:31:00:: bristle%2:42:02::
hom_133_12 dough%1:13:00:: boodle%1:21:00::
hom_135_10 advanced%5:00:00:late:00 ripe%3:00:00::
hom_136_15 enfeeble%2:30:00:: drain%1:06:00::
hom_137_5 integral%5:00:00:whole:00 built-in%5:00:00:intrinsic:00
hom_138_15 pitch%2:33:04:: deliver%2:35:06::
hom_140_12 general%2:32:00:: general%2:32:00::
hom_141_17 static%5:00:00:unchangeable:00 static%5:00:00:unchangeable:00
hom_142_17 front%2:42:00:: front%2:33:00::
hom_145_11 stroke%1:04:00:: scene%1:10:01::
hom_147_8 average%2:42:00:: average%5:00:02:normal:01
hom_148_15 usher%2:38:00:: picture%2:36:00::
hom_149_9 register%2:31:00:: file%2:32:02::
hom_150_8 reach%2:32:00:: touch%2:35:01::
hom_152_21 fabric%1:06:00:: material%1:27:00::
hom_154_9 pawn%2:40:00:: instrument%1:18:00::
hom_156_10 bombshell%1:06:00:: bombshell%1:11:00::
hom_157_8 pipe%1:06:00:: shriek%2:32:00::
hom_159_21 vanish%2:30:01:: fly%2:38:00::
hom_160_9 mean%2:32:01:: hateful%5:00:00:nasty:00
hom_163_13 vent%2:30:00:: vent%2:32:00::
hom_164_12 cut%2:36:01:: stinger%1:10:00::
hom_165_13 steal%1:04:00:: bargain%1:21:01::
hom_169_8 right%4:02:09:: flop%1:18:00::
hom_170_23 stage%2:36:01:: stage%1:04:00::
hom_172_10 vein%2:36:00:: vein%2:36:00::
hom_173_8 tender%2:30:00:: tender%1:06:01::
hom_174_17 mail%2:32:00:: mail%1:14:00::
hom_175_8 smash%2:35:00:: savage%2:32:00::
hom_177_8 sweep%2:35:00:: brush%2:38:00::
hom_178_15 click%2:31:13:: snap%2:35:02::
hom_179_10 stress%1:26:03:: concentrate%2:31:00::
hom_181_17 web%2:36:00:: net%2:40:00::
hom_183_7 pit%1:17:00:: cavity%1:08:00::
hom_185_12 trouble%1:09:00:: problem%1:10:00::
hom_186_13 cram%2:31:00:: bone%1:07:00::
hom_188_22 wimp%1:18:00:: chicken%5:00:00:cowardly:00
hom_189_11 drive%2:35:03:: drive%1:06:00::
hom_191_11 identity%1:07:00:: identity%1:07:02::
hom_193_14 testis%1:08:00:: musket_ball%1:06:00::
hom_195_7 makeover%1:04:01:: makeover%1:04:01::
hom_196_14 target%2:33:00:: point%1:10:02::
hom_197_13 short_circuit%1:06:00:: shortstop%1:04:00::
hom_198_3 march%2:38:00:: parade%2:38:01::
hom_199_21 tell%2:32:01:: tell%2:32:01::
hom_201_13 hitch%1:06:00:: hitch%1:04:00::
hom_202_12 get%2:32:03:: draw%2:36:01::
hom_203_7 pop%2:30:03:: popular%5:00:00:nonclassical:00
hom_206_15 scan%2:39:00:: rake%2:35:00::
hom_207_8 combination%1:04:00:: combination%1:04:00::
hom_208_13 weapon%1:06:00:: sleeve%1:06:00::
hom_209_17 distribute%2:40:00:: fortune%1:26:00::
hom_214_13 fly%1:06:02:: tent-fly%1:06:00::
hom_217_12 world%1:14:01:: domain%1:15:00::
hom_218_5 stand%2:42:00:: rack%1:06:00::
hom_219_12 dough%1:13:00:: boodle%1:21:00::
hom_220_11 root%2:42:00:: root%1:10:00::
hom_221_19 wholly%4:02:00:: good%5:00:00:opportune:00
hom_222_7 high%1:15:00:: high%1:15:00::
hom_223_9 still%4:02:01:: distillery%1:06:00::
hom_224_11 cut%2:38:15:: cut%1:04:00::
hom_225_8 smash%2:35:00:: breeze_through%2:41:00::
hom_226_10 dismay%2:37:00:: alarm%2:32:00::
hom_227_14 get%2:32:03:: get%2:30:02::
