het_1_14	allege%2:32:00::	distribute%2:40:00::
het_2_13	coolly%4:02:00::	flocculent%5:00:00:soft:01
het_4_11	orifice%1:08:00::	sacrifice%2:40:01::
het_5_5	gnu%1:05:00::	gunman%1:18:01::
het_7_6	harry%2:30:00::	airy%5:00:00:light:01
het_9_6	step%1:06:00::	sedate%5:00:00:decorous:00
het_11_13	archly%4:02:00::	earthly%3:00:00::
het_12_12	hertz%1:28:00::	a%1:08:00::
het_13_24	dye%1:27:00::	department_of_energy%1:14:00::
het_15_3	sleep_together%2:35:00::	slub%1:07:00::
het_16_11	maid%1:18:00::	hired_hand%1:18:00::
het_17_7	wittingly%4:02:00::	show%2:33:00::
het_19_16	octave%1:10:01::	active%1:18:00::
het_22_17	punctually%4:02:00::	punctuality%1:07:00::
het_24_6	psalm%2:36:00::	scale%2:30:01::
het_25_7	thickly%4:02:04::	dame%1:18:00::
het_28_10	sole%2:30:00::	terminal%1:06:01::
het_31_14	hostel%1:06:01::	server%1:06:01::
het_33_24	treaty%1:10:00::	record%2:32:00::
het_34_16	knotty%5:00:00:tangled:00	knotted%5:00:00:tied:00
het_35_14	humorlessly%4:02:00::	uselessly%4:02:00::
het_36_17	presciently%4:02:00::	can%2:30:00::
het_38_13	lute%1:06:00::	let%2:41:00::
het_39_15	jell%2:30:00::	hide%2:39:00::
het_40_6	hart%1:05:00::	hat%2:40:00::
het_42_11	mutter%1:11:00::	matter%1:09:02::
het_43_10	bovine%5:00:00:dull:03	novitiate%1:18:00::
het_45_8	era%1:28:01::	zero%1:06:00::
het_47_8	quart%1:23:03::	aside%4:02:05::
het_49_8	lint%1:06:00::	glint%1:07:00::
het_51_11	temper%1:12:00::	well%4:02:00::
het_54_29	offal%1:13:00::	opal%1:27:00::
het_55_11	bum%5:00:00:inferior:02	crabbed%5:00:00:ill-natured:00
het_56_7	sail%1:06:01::	trouble%2:29:00::
het_58_14	mine%2:33:00::	pine%1:20:00::
het_59_13	frog%1:05:00::	road%1:04:00::
het_60_16	sugarcoat%2:39:00::	cranky%5:00:00:ill-natured:00
het_62_13	mansion%1:06:00::	mention%1:10:01::
het_64_16	bark%2:35:00::	dark%5:00:00:ill-natured:00
het_65_18	multitude%1:14:00::	toilet%1:06:01::
het_66_8	paneling%1:06:00::	pan%2:32:00::
het_67_7	trap%1:08:00::	terminal%1:06:01::
het_69_14	stiltedly%4:02:00::	artificial%5:00:00:affected:01
het_70_27	sari%1:06:00::	ear%1:20:00::
het_71_14	cash%2:40:00::	slash%1:04:00::
het_72_4	pasta%1:13:01::	part%1:10:00::
het_73_13	glowingly%4:02:00::	radiance%1:19:00::
het_74_13	caustically%4:02:00::	radically%4:02:00::
het_75_17	petal%1:20:00::	penal%5:00:00:illegal:00
het_77_5	knotty%5:00:00:tangled:00	indocile%5:00:00:unmanageable:00
het_78_7	vinyl%1:27:00::	nothing%1:23:00::
het_82_11	fanatic%5:00:00:passionate:00	raid%2:40:02::
het_87_12	juggler%1:18:00::	ripple%2:39:00::
het_90_6	chew_over%2:31:00::	must%1:17:00::
het_92_8	kernel%1:20:02::	neat%5:00:00:undiluted:00
het_94_7	ripple%2:39:00::	champagne%1:13:00::
het_95_19	shoulder%2:35:01::	smoulder%1:11:00::
het_96_9	cotton%2:37:00::	motto%1:10:00::
het_99_12	source%1:22:00::	wedge%2:35:00::
het_100_7	lion%1:18:00::	wrinkle%1:25:00::
het_101_16	seriously%4:02:00::	sirius%1:17:00::
het_102_6	mail%1:06:01::	tail%1:06:02::
het_104_5	pensive%5:00:00:sad:00	passive_voice%1:24:00::
het_106_15	cur%1:18:00::	car%1:06:01::
het_107_8	admiration%1:12:01::	befit%2:42:00::
het_108_14	well%4:02:03::	daily%4:02:00::
het_111_8	club%1:14:00::	wilderness%1:15:00::
het_112_11	minoxidil%1:06:00::	routine%1:10:00::
het_113_13	compliment%1:10:00::	competent%5:00:00:adequate:00
het_116_7	editing%1:10:00::	reaction%1:19:01::
