hom_1	hom_1_12
hom_2	hom_2_10
hom_3	hom_3_7
hom_4	hom_4_5
hom_5	hom_5_12
hom_7	hom_7_14
hom_8	hom_8_17
hom_9	hom_9_11
hom_10	hom_10_13
hom_11	hom_11_9
hom_14	hom_14_14
hom_15	hom_15_10
hom_16	hom_16_13
hom_18	hom_18_4
hom_19	hom_19_7
hom_20	hom_20_8
hom_21	hom_21_7
hom_22	hom_22_14
hom_23	hom_23_7
hom_24	hom_24_7
hom_25	hom_25_5
hom_26	hom_26_8
hom_27	hom_27_10
hom_28	hom_28_5
hom_29	hom_29_11
hom_30	hom_30_8
hom_31	hom_31_12
hom_33	hom_33_7
hom_34	hom_34_14
hom_38	hom_38_16
hom_39	hom_39_16
hom_41	hom_41_16
hom_43	hom_43_12
hom_44	hom_44_5
hom_45	hom_45_4
hom_46	hom_46_6
hom_47	hom_47_10
hom_48	hom_48_10
hom_50	hom_50_11
hom_51	hom_51_10
hom_52	hom_52_22
hom_53	hom_53_8
hom_55	hom_55_8
hom_58	hom_58_17
hom_60	hom_60_20
hom_61	hom_61_10
hom_62	hom_62_9
hom_63	hom_63_10
hom_67	hom_67_15
hom_69	hom_69_11
hom_70	hom_70_13
hom_71	hom_71_21
hom_72	hom_72_10
hom_73	hom_73_7
hom_74	hom_74_9
hom_75	hom_75_9
hom_76	hom_76_10
hom_77	hom_77_14
hom_78	hom_78_12
hom_80	hom_80_6
hom_81	hom_81_9
hom_82	hom_82_8
hom_83	hom_83_4
hom_85	hom_85_16
hom_86	hom_86_15
hom_87	hom_87_14
hom_88	hom_88_11
hom_90	hom_90_9
hom_91	hom_91_18
hom_92	hom_92_10
hom_93	hom_93_5
hom_96	hom_96_12
hom_97	hom_97_12
hom_98	hom_98_15
hom_99	hom_99_5
hom_100	hom_100_20
hom_103	hom_103_7
hom_104	hom_104_14
hom_106	hom_106_9
hom_107	hom_107_18
hom_108	hom_108_13
hom_109	hom_109_10
hom_110	hom_110_11
hom_112	hom_112_4
hom_113	hom_113_11
hom_115	hom_115_11
hom_116	hom_116_6
hom_117	hom_117_4
hom_119	hom_119_4
hom_120	hom_120_12
hom_124	hom_124_4
hom_125	hom_125_5
hom_126	hom_126_7
hom_127	hom_127_16
hom_128	hom_128_10
hom_130	hom_130_11
hom_132	hom_132_10
hom_133	hom_133_12
hom_135	hom_135_7
hom_136	hom_136_7
hom_137	hom_137_6
hom_138	hom_138_15
hom_139	hom_139_12
hom_140	hom_140_6
hom_141	hom_141_17
hom_142	hom_142_16
hom_144	hom_144_11
hom_145	hom_145_6
hom_147	hom_147_8
hom_148	hom_148_9
hom_149	hom_149_9
hom_150	hom_150_7
hom_151	hom_151_15
hom_152	hom_152_13
hom_153	hom_153_14
hom_154	hom_154_9
hom_156	hom_156_7
hom_157	hom_157_8
hom_159	hom_159_11
hom_160	hom_160_4
hom_161	hom_161_12
hom_162	hom_162_8
hom_163	hom_163_13
hom_164	hom_164_12
hom_165	hom_165_13
hom_167	hom_167_7
hom_169	hom_169_8
hom_170	hom_170_23
hom_172	hom_172_8
hom_173	hom_173_5
hom_174	hom_174_15
hom_175	hom_175_8
hom_177	hom_177_7
hom_178	hom_178_11
hom_179	hom_179_8
hom_181	hom_181_17
hom_183	hom_183_7
hom_185	hom_185_14
hom_186	hom_186_13
hom_188	hom_188_22
hom_189	hom_189_11
hom_191	hom_191_9
hom_193	hom_193_18
hom_195	hom_195_10
hom_196	hom_196_10
hom_197	hom_197_11
hom_198	hom_198_8
hom_199	hom_199_16
hom_201	hom_201_13
hom_202	hom_202_8
hom_203	hom_203_8
hom_204	hom_204_11
hom_206	hom_206_15
hom_207	hom_207_10
hom_208	hom_208_8
hom_209	hom_209_17
hom_214	hom_214_13
hom_217	hom_217_9
hom_218	hom_218_10
hom_219	hom_219_12
hom_220	hom_220_14
hom_221	hom_221_12
hom_222	hom_222_8
hom_223	hom_223_4
hom_224	hom_224_11
hom_225	hom_225_10
hom_226	hom_226_8
hom_227	hom_227_12
hom_228	hom_228_10
hom_229	hom_229_10
hom_230	hom_230_11
hom_231	hom_231_14
hom_233	hom_233_17
hom_234	hom_234_6
hom_235	hom_235_9
hom_236	hom_236_7
hom_237	hom_237_4
hom_238	hom_238_4
hom_240	hom_240_13
hom_243	hom_243_11
hom_245	hom_245_10
hom_246	hom_246_9
hom_247	hom_247_11
hom_250	hom_250_6
hom_251	hom_251_13
hom_254	hom_254_10
hom_255	hom_255_5
hom_256	hom_256_10
hom_258	hom_258_7
hom_259	hom_259_5
hom_260	hom_260_12
hom_261	hom_261_11
hom_262	hom_262_7
hom_265	hom_265_4
hom_266	hom_266_4
hom_267	hom_267_7
hom_268	hom_268_7
hom_269	hom_269_10
hom_270	hom_270_11
hom_272	hom_272_4
hom_273	hom_273_6
hom_274	hom_274_14
hom_276	hom_276_15
hom_277	hom_277_7
hom_278	hom_278_20
hom_279	hom_279_12
hom_281	hom_281_23
hom_282	hom_282_9
hom_283	hom_283_16
hom_284	hom_284_14
hom_285	hom_285_24
hom_286	hom_286_10
hom_287	hom_287_11
hom_288	hom_288_10
hom_289	hom_289_7
hom_292	hom_292_13
hom_293	hom_293_17
hom_294	hom_294_9
hom_296	hom_296_7
hom_298	hom_298_12
hom_300	hom_300_7
hom_301	hom_301_15
hom_303	hom_303_9
hom_304	hom_304_12
hom_305	hom_305_12
hom_308	hom_308_19
hom_310	hom_310_17
hom_313	hom_313_12
hom_315	hom_315_15
hom_316	hom_316_9
hom_317	hom_317_17
hom_318	hom_318_19
hom_319	hom_319_13
hom_320	hom_320_3
hom_322	hom_322_10
hom_323	hom_323_5
hom_324	hom_324_11
hom_325	hom_325_12
hom_327	hom_327_14
hom_328	hom_328_15
hom_329	hom_329_5
hom_330	hom_330_8
hom_334	hom_334_10
hom_338	hom_338_13
hom_339	hom_339_14
hom_341	hom_341_10
hom_342	hom_342_9
hom_344	hom_344_5
hom_345	hom_345_10
hom_346	hom_346_12
hom_348	hom_348_19
hom_349	hom_349_7
hom_350	hom_350_11
hom_353	hom_353_7
hom_354	hom_354_6
hom_355	hom_355_15
hom_356	hom_356_3
hom_357	hom_357_5
hom_358	hom_358_6
hom_359	hom_359_5
hom_360	hom_360_8
hom_361	hom_361_8
hom_362	hom_362_11
hom_363	hom_363_7
hom_364	hom_364_14
hom_365	hom_365_16
hom_366	hom_366_14
hom_367	hom_367_12
hom_368	hom_368_6
hom_369	hom_369_11
hom_371	hom_371_5
hom_373	hom_373_12
hom_374	hom_374_9
hom_375	hom_375_13
hom_378	hom_378_8
hom_380	hom_380_20
hom_381	hom_381_8
hom_382	hom_382_11
hom_383	hom_383_10
hom_386	hom_386_10
hom_387	hom_387_13
hom_388	hom_388_11
hom_389	hom_389_6
hom_390	hom_390_13
hom_391	hom_391_12
hom_392	hom_392_4
hom_393	hom_393_7
hom_394	hom_394_10
hom_395	hom_395_17
hom_396	hom_396_9
hom_397	hom_397_18
hom_399	hom_399_13
hom_400	hom_400_25
hom_401	hom_401_12
hom_402	hom_402_13
hom_403	hom_403_13
hom_404	hom_404_10
hom_405	hom_405_12
hom_406	hom_406_8
hom_408	hom_408_9
hom_409	hom_409_10
hom_411	hom_411_4
hom_412	hom_412_33
hom_414	hom_414_8
hom_415	hom_415_8
hom_416	hom_416_7
hom_417	hom_417_9
hom_418	hom_418_9
hom_421	hom_421_21
hom_422	hom_422_20
