hom_1	hom_1_2
hom_2	hom_2_9
hom_3	hom_3_8
hom_4	hom_4_5
hom_5	hom_5_15
hom_7	hom_7_6
hom_8	hom_8_8
hom_9	hom_9_11
hom_10	hom_10_16
hom_11	hom_11_9
hom_14	hom_14_14
hom_15	hom_15_15
hom_16	hom_16_13
hom_18	hom_18_8
hom_19	hom_19_4
hom_20	hom_20_15
hom_21	hom_21_9
hom_22	hom_22_9
hom_23	hom_23_7
hom_24	hom_24_7
hom_25	hom_25_6
hom_26	hom_26_8
hom_27	hom_27_10
hom_28	hom_28_5
hom_29	hom_29_4
hom_30	hom_30_8
hom_31	hom_31_1
hom_33	hom_33_3
hom_34	hom_34_3
hom_38	hom_38_9
hom_39	hom_39_20
hom_41	hom_41_16
hom_43	hom_43_8
hom_44	hom_44_12
hom_45	hom_45_6
hom_46	hom_46_8
hom_47	hom_47_9
hom_48	hom_48_8
hom_50	hom_50_9
hom_51	hom_51_10
hom_52	hom_52_9
hom_53	hom_53_8
hom_55	hom_55_7
hom_58	hom_58_17
hom_60	hom_60_15
hom_61	hom_61_9
hom_62	hom_62_5
hom_63	hom_63_10
hom_67	hom_67_15
hom_69	hom_69_4
hom_70	hom_70_9
hom_71	hom_71_5
hom_72	hom_72_8
hom_73	hom_73_5
hom_74	hom_74_9
hom_75	hom_75_13
hom_76	hom_76_7
hom_77	hom_77_14
hom_78	hom_78_9
hom_80	hom_80_1
hom_81	hom_81_7
hom_82	hom_82_5
hom_83	hom_83_4
hom_85	hom_85_16
hom_86	hom_86_20
hom_87	hom_87_3
hom_88	hom_88_11
hom_90	hom_90_7
hom_91	hom_91_6
hom_92	hom_92_8
hom_93	hom_93_5
hom_96	hom_96_12
hom_97	hom_97_4
hom_98	hom_98_13
hom_99	hom_99_5
hom_100	hom_100_11
hom_103	hom_103_7
hom_104	hom_104_14
hom_106	hom_106_7
hom_107	hom_107_2
hom_108	hom_108_13
hom_109	hom_109_11
hom_110	hom_110_11
hom_112	hom_112_9
hom_113	hom_113_11
hom_115	hom_115_8
hom_116	hom_116_6
hom_117	hom_117_5
hom_119	hom_119_4
hom_120	hom_120_1
hom_124	hom_124_5
hom_125	hom_125_10
hom_126	hom_126_1
hom_127	hom_127_14
hom_128	hom_128_15
hom_130	hom_130_3
hom_132	hom_132_7
hom_133	hom_133_10
hom_135	hom_135_12
hom_136	hom_136_15
hom_137	hom_137_6
hom_138	hom_138_5
hom_139	hom_139_9
hom_140	hom_140_12
hom_141	hom_141_16
hom_142	hom_142_14
hom_144	hom_144_10
hom_145	hom_145_2
hom_147	hom_147_4
hom_148	hom_148_15
hom_149	hom_149_5
hom_150	hom_150_1
hom_151	hom_151_14
hom_152	hom_152_20
hom_153	hom_153_3
hom_154	hom_154_3
hom_156	hom_156_7
hom_157	hom_157_1
